유통센터명,소재지도로명주소,소재지지번주소,위도,경도,주요품목명,설립연도,전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
순천 거점산지유통센터,전라남도 순천시 승주읍 중대길 15,전라남도 순천시 승주읍 평중리 188,35.019461,127.371649,배+참다래+단감+복숭아 등,2010,061-752-0400,전라남도 순천시 농식품유통과,2024-10-23,4820000,전라남도 순천시
남안동농협,경상북도 안동시 남후면 농공길 51,경상북도 안동시 남후면 광음리 1128-7,36.50075505,128.6587803,건고추+양파,2010,054-859-6034,경상북도 안동시청,2024-11-29,5070000,경상북도 안동시
농업법인(주)참,경상북도 안동시 남후면 남일로 1333-1,경상북도 안동시 남후면 무릉리 1346,36.52703263,128.6758026,사과+감귤류,2020,054-843-3347,경상북도 안동시청,2024-11-29,5070000,경상북도 안동시
대경능금농협(안동시공공 1),경상북도 안동시 풍산읍 유통단지길 99,경상북도 안동시 풍산읍 노리 953-9,36.58876514,128.6100456,사과,1997,054-859-1447,경상북도 안동시청,2024-11-29,5070000,경상북도 안동시
대경능금농협(안동 2),경상북도 안동시 남후면 남일로 1310,경상북도 안동시 남후면 무릉리 683-8,36.52643648,128.6733533,사과,2015,054-843-5566,경상북도 안동시청,2024-11-29,5070000,경상북도 안동시
군자농협 APC,경기도 안산시 단원구 대부중앙로 141(대부동동),경기도 안산시 단원구 대부동동 1490-2,37.241627,126.5892722,포도,2007,032-886-6100,군자농업협동조합,2025-06-02,3930000,경기도 안산시
가야농협 산지유통센터,경상남도 가야면 가야시장로 37,,35.2722159,128.4081804,양파,2010,055-932-7796,경상남도 합천군청,2025-05-24,5480000,경상남도 합천군
율곡농협 농산물산지유통센터,경상남도 합천군 율곡면 동부로 571,,35.5745544,128.2155623,양파+마늘,2009,055-933-3836,경상남도 합천군청,2025-05-24,5480000,경상남도 합천군
합천동부농협 농산물산지유통센터,경상남도 합천군 적중면 동부로 1420-2,,35.5519555,128.2894017,양파+마늘,2016,055-932-1014,경상남도 합천군청,2025-05-24,5480000,경상남도 합천군
성주군 APC,경상북도 성주군 대가면 옥성4길 1,경상북도 성주군 대가면 옥성리 356,,,참외,2007,,경상북도 성주군청,2024-08-06,5210000,경상북도 성주군
